2012-04-05 23:01:54 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/Applications/MAMP/htdocs/club86/cake/libs/debugger.php, line 694]
2012-04-05 23:01:54 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/Applications/MAMP/htdocs/club86/cake/libs/debugger.php, line 698]
2014-01-11 17:31:41 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 12]
2014-01-11 17:35:27 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 12]
2014-01-11 17:37:58 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 12]
2014-01-11 17:39:07 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 12]
2014-01-11 17:41:04 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 12]
2014-01-11 17:41:10 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 12]
2014-01-11 17:44:05 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 12]
2014-01-11 17:44:23 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 12]
2014-01-11 17:47:54 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 10]
2014-01-11 17:47:54 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 11]
2014-01-11 17:47:54 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 12]
2014-01-11 17:47:54 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 13]
2014-01-11 17:48:01 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 10]
2014-01-11 17:48:01 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 11]
2014-01-11 17:48:01 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 12]
2014-01-11 17:48:01 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 13]
2014-01-11 17:49:15 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 10]
2014-01-11 17:49:15 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 11]
2014-01-11 17:49:15 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 12]
2014-01-11 17:49:15 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 13]
2014-01-11 17:54:36 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 10]
2014-01-11 17:54:36 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 11]
2014-01-11 17:54:36 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 12]
2014-01-11 17:54:36 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 13]
2014-01-11 17:55:22 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 16]
2014-01-11 17:55:22 Notice: Notice (8): Undefined index: Gari in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 10]
2014-01-11 17:55:22 Notice: Notice (8): Undefined index: Gari in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 11]
2014-01-11 17:55:22 Notice: Notice (8): Undefined index: Gari in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 12]
2014-01-11 17:55:22 Notice: Notice (8): Undefined index: Gari in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 13]
2014-01-11 17:55:31 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 16]
2014-01-11 17:55:31 Notice: Notice (8): Undefined index: Gari in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 10]
2014-01-11 17:55:31 Notice: Notice (8): Undefined index: Gari in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 11]
2014-01-11 17:55:31 Notice: Notice (8): Undefined index: Gari in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 12]
2014-01-11 17:55:31 Notice: Notice (8): Undefined index: Gari in [/Applications/MAMP/htdocs/club86/app/views/sushi/detail.ctp, line 13]
2014-01-11 19:06:07 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/saburo2.ctp, line 11]
2014-01-11 19:07:18 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/saburo2.ctp, line 11]
2014-01-11 19:09:09 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/saburo2.ctp, line 11]
2014-01-11 19:09:34 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/saburo2.ctp, line 11]
2014-01-11 19:12:02 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/saburo2.ctp, line 11]
2014-01-11 19:12:17 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/sushi/saburo2.ctp, line 11]
